sign,desc-en,desc-ja
.,Matches any character except newline (matches newline in single-line),
\s,Matches white space characters.,
\S,Matches anything but white space characters.,
\d,Matches digits. Equivalent to [0-9].,
\D,Matches anything but digits. Equivalent to [^0-9].,
\w,"Matches letters, digits and underscores. Equivalent to [A-Za-z0-9_].",
\W,"Matches anything but letters, digits and underscores.",
\xff,Matches ASCII hexadecimal character ff.,
\x{ffff},Matches UTF-8 hexadecimal character ffff.,
\A,Matches ASCII control character ^A (case insensitive).,
\132,Matches ASCII octal character 132.,
,,
,,
,,
,,
